,Buy
1467,0
9054,1
7371,1
7200,1
4326,0
4044,1
4137,0
3039,1
6415,1
10943,0
9148,0
579,1
8687,0
11343,1
6131,1
9743,1
2467,1
4157,1
6145,0
413,0
402,1
4428,0
2084,1
3057,1
12278,1
164,1
11033,0
4302,0
7894,1
9252,1
3317,0
9919,0
3934,1
1847,1
1334,0
9514,1
753,0
3064,0
706,0
3491,1
4573,1
7376,1
10021,0
3151,0
11573,1
3799,1
4022,1
1074,1
8279,1
3438,0
6930,1
11055,1
10783,1
2429,0
246,0
3815,0
5848,1
3632,0
8253,1
2262,1
2246,0
835,1
5064,1
432,1
10003,0
1173,0
5835,1
4656,0
10949,0
8310,1
250,1
10261,0
12109,1
5805,0
9370,0
10211,0
3407,1
2729,0
12252,0
433,0
11768,1
9377,1
11241,0
10938,1
7820,0
6075,0
9244,0
4002,0
4753,0
1332,0
8074,0
9211,0
6180,1
1443,0
7204,0
5318,1
4310,1
4899,1
10309,1
6497,1
10306,1
10384,0
2569,0
8868,1
4277,0
3666,0
8309,1
2446,0
10891,0
3657,0
9987,1
3172,0
1223,1
5905,0
4166,1
544,0
1204,0
10448,1
6466,0
12020,1
2637,0
12053,1
8331,1
10292,1
6586,0
10786,1
877,0
10038,1
196,1
12061,1
3383,0
4379,1
8542,0
8877,0
2997,1
7713,0
2571,1
10821,0
10673,0
11593,1
11854,1
4969,0
4711,0
4163,1
10731,0
7246,1
9301,0
2682,0
6245,1
2508,0
5532,0
1510,1
4314,1
7412,0
1244,1
8528,1
12149,1
10903,1
4121,0
4995,1
8978,1
5761,1
11403,0
8644,1
5262,0
254,1
9892,0
4511,1
7966,1
5159,1
10215,1
759,0
654,1
5297,0
5288,1
7753,0
3401,1
1420,0
3044,1
2830,1
8374,1
328,1
8412,0
253,1
8715,1
6225,1
4377,1
5092,0
3019,1
3029,0
2636,1
7562,1
6906,0
3018,0
2945,0
3659,0
9222,0
7499,0
6277,1
2663,1
5816,1
1362,0
8045,1
3481,0
11920,1
9079,0
10481,1
9933,1
5466,0
10282,0
9507,0
2880,0
3381,0
1302,0
6434,0
4957,1
4836,0
9814,1
7600,0
5522,1
7699,0
942,0
10095,1
3235,1
3257,1
10853,1
9392,0
176,1
435,1
5378,1
308,1
1565,1
3964,1
2135,0
6832,1
10859,1
4977,1
9205,0
10126,1
595,0
5639,1
4625,0
5332,1
8346,0
7497,1
10286,1
2623,1
4572,1
9388,1
11316,0
231,1
179,1
