,Buy
1612,1.0
690,1.0
1786,1.0
1728,0.0
689,1.0
851,0.0
159,0.0
895,0.0
1457,1.0
257,0.0
335,0.0
1732,0.0
1039,0.0
515,1.0
1015,0.0
768,0.0
1614,1.0
761,1.0
1246,1.0
1203,0.0
1353,1.0
1826,0.0
521,0.0
22,0.0
356,1.0
1277,1.0
1312,0.0
1557,0.0
340,0.0
431,1.0
473,0.0
217,0.0
911,1.0
1227,1.0
1476,0.0
1011,0.0
1793,1.0
93,1.0
1008,0.0
1070,1.0
1092,1.0
1467,1.0
1308,0.0
696,1.0
1655,1.0
996,0.0
153,1.0
1099,0.0
1591,1.0
1840,1.0
789,1.0
580,1.0
703,1.0
1212,1.0
1295,0.0
1542,0.0
1260,0.0
487,0.0
559,1.0
1141,1.0
1119,1.0
801,1.0
512,0.0
633,1.0
1362,1.0
1650,0.0
1150,1.0
790,1.0
116,0.0
740,1.0
1081,0.0
830,1.0
119,1.0
656,1.0
1754,0.0
635,1.0
369,0.0
268,1.0
655,0.0
935,0.0
822,1.0
866,1.0
46,1.0
1373,0.0
1581,0.0
991,0.0
876,1.0
773,0.0
1219,1.0
1842,1.0
4,1.0
1003,1.0
1594,1.0
263,1.0
1766,0.0
1688,0.0
443,1.0
1002,1.0
1077,0.0
837,1.0
1653,0.0
304,0.0
1365,1.0
1592,1.0
313,1.0
149,0.0
1148,1.0
1213,1.0
574,1.0
50,1.0
1626,1.0
726,0.0
833,0.0
1377,0.0
1115,1.0
1166,1.0
470,1.0
971,1.0
653,1.0
399,1.0
511,1.0
320,0.0
19,1.0
684,0.0
35,0.0
902,0.0
827,0.0
1658,0.0
407,1.0
920,1.0
537,1.0
758,0.0
1062,0.0
1199,1.0
245,1.0
1416,1.0
1127,1.0
784,0.0
1610,1.0
489,1.0
154,1.0
961,1.0
853,0.0
1311,1.0
625,1.0
685,1.0
1523,1.0
569,1.0
1755,0.0
17,1.0
127,1.0
1346,1.0
1279,0.0
1811,0.0
927,1.0
980,1.0
1807,1.0
190,1.0
1139,1.0
992,1.0
1798,1.0
1611,1.0
606,1.0
180,0.0
301,1.0
496,0.0
1569,1.0
1582,1.0
1538,1.0
1818,0.0
517,1.0
1827,1.0
1069,0.0
476,0.0
157,1.0
1243,1.0
1195,1.0
16,1.0
1072,0.0
1814,1.0
546,0.0
658,0.0
1503,0.0
1019,1.0
1539,0.0
959,0.0
1734,1.0
283,1.0
797,0.0
1504,0.0
225,0.0
26,1.0
1634,0.0
437,1.0
1792,1.0
1388,0.0
229,0.0
37,0.0
749,1.0
1045,0.0
1398,1.0
469,1.0
1566,0.0
1810,1.0
687,1.0
1699,0.0
639,0.0
1760,1.0
1218,1.0
1158,0.0
1415,1.0
1532,0.0
1300,0.0
1681,0.0
800,1.0
160,0.0
956,0.0
1186,1.0
821,1.0
1556,0.0
877,1.0
913,1.0
152,0.0
1693,1.0
1640,1.0
509,1.0
1135,1.0
1250,0.0
1540,0.0
103,1.0
1445,1.0
1443,1.0
586,0.0
1632,0.0
1143,1.0
53,1.0
151,0.0
403,1.0
1787,1.0
207,1.0
1744,0.0
1122,1.0
1617,0.0
8,0.0
1014,0.0
1657,0.0
1060,1.0
452,0.0
253,1.0
1327,0.0
896,1.0
1603,1.0
880,1.0
1739,1.0
623,0.0
345,0.0
1576,1.0
262,1.0
1321,1.0
1438,1.0
150,1.0
472,1.0
640,1.0
1825,1.0
1735,1.0
550,1.0
928,1.0
488,0.0
1671,1.0
1171,0.0
146,1.0
1578,0.0
1774,0.0
402,0.0
954,1.0
1730,0.0
659,1.0
1372,0.0
463,0.0
1349,0.0
186,1.0
1147,0.0
1224,1.0
608,0.0
143,0.0
751,1.0
1534,1.0
981,0.0
197,1.0
883,0.0
279,1.0
293,0.0
1682,1.0
400,1.0
122,0.0
